product_name,category,unit_size,batch_id,production_date,total_weight_kg,in_stock_quantity,price_per_unit,cost_per_unit,operator_name,print_count,printed_by
Green Chilly Pickle,Pickle,50gm,B00001,2025-04-08,5.05,101,144.09,118.1,Ravi,62,Printer_C
Maruti Mango Pickle,Pickle,1kg,B00002,2023-08-02,110.0,110,101.62,74.56,Ravi,121,Printer_A
Mango Pickle,Pickle,50gm,B00003,2025-03-21,6.8,136,36.97,31.79,Sunil,224,Printer_A
Mango Pickle,Pickle,200gm,B00004,2023-10-06,29.8,149,47.14,37.49,Sunil,184,Printer_B
Garam Masala,Masala,200gm,B00005,2023-02-04,26.4,132,146.39,109.75,Ajay,186,Printer_C
Misal Masala,Masala,50gm,B00006,2025-07-04,4.35,87,30.09,27.01,Neha,203,Printer_A
Lemon Pickle,Pickle,1kg,B00007,2024-08-23,82.0,82,66.51,50.38,Ravi,126,Printer_B
sabudana papad,Papad,100gm,B00008,2023-06-15,13.8,138,64.95,50.89,Priya,196,Printer_A
Meat Masala,Masala,100gm,B00009,2025-04-22,9.1,91,35.6,31.76,Priya,97,Printer_C
Lasun Pickle,Pickle,100gm,B00010,2024-06-21,6.4,64,84.73,70.8,Sunil,122,Printer_C
Chatpata Masala,Masala,50gm,B00011,2023-11-26,5.0,100,75.9,67.93,Seema,147,Printer_A
Kashmiri Mirchi Powder,Masala,1kg,B00012,2025-05-21,82.0,82,133.19,93.78,Ajay,244,Printer_A
Misal Masala,Masala,100gm,B00013,2025-08-09,12.2,122,37.81,33.45,Sunil,229,Printer_C
Chicken Masala,Masala,100gm,B00014,2023-07-03,10.9,109,97.59,69.84,Sunil,66,Printer_A
Green Chilly Pickle,Pickle,500gm,B00015,2025-01-13,69.5,139,41.72,33.6,Priya,249,Printer_C
Kolhapuri Jhatka,Masala,1kg,B00016,2023-10-04,109.0,109,44.64,33.42,Priya,284,Printer_B
Maruti Mix Pickle,Pickle,200gm,B00017,2023-04-06,25.2,126,50.8,31.36,Ajay,144,Printer_C
Maruti Mix Pickle,Pickle,1kg,B00018,2023-11-10,99.0,99,109.5,75.94,Neha,269,Printer_C
Bedgi Mirchi Powder,Masala,200gm,B00019,2023-08-25,11.0,55,54.95,42.33,Neha,10,Printer_C
Chatpata Masala,Masala,50gm,B00020,2023-12-27,7.1,142,146.35,121.84,Sunil,132,Printer_A
Malvani Masala,Masala,1kg,B00021,2023-02-16,83.0,83,77.42,67.97,Sunil,282,Printer_A
Garam Masala,Masala,500gm,B00022,2025-03-17,72.0,144,140.62,88.11,Neha,226,Printer_A
Karala Chatani,Chutney,100gm,B00023,2025-05-22,13.6,136,92.5,82.17,Priya,234,Printer_C
Mango Pickle,Pickle,100gm,B00024,2023-01-01,13.4,134,76.64,52.22,Priya,127,Printer_C
Kashmiri Mirchi Powder,Masala,50gm,B00025,2025-09-08,5.1,102,100.41,89.32,Ravi,26,Printer_B
Dhana Powder,Masala,100gm,B00026,2024-10-07,10.9,109,95.12,61.09,Priya,252,Printer_A
Jai Ho Mango Pickle,Pickle,500gm,B00027,2023-02-22,47.0,94,49.83,25.15,Ajay,226,Printer_B
Mango Pickle,Pickle,50gm,B00028,2025-09-21,2.9,58,122.67,80.91,Ravi,216,Printer_C
Dal Tadka Masala,Masala,50gm,B00029,2023-03-18,8.35,167,31.69,17.74,Ajay,226,Printer_A
Misal Masala,Masala,100gm,B00030,2023-06-28,5.7,57,117.48,97.67,Neha,60,Printer_A
Green Chilly Pickle,Pickle,1kg,B00031,2023-12-25,54.0,54,141.16,112.27,Neha,95,Printer_B
Mango Pickle,Pickle,100gm,B00032,2024-12-06,10.7,107,133.57,91.76,Ajay,209,Printer_B
Karala Chatani,Chutney,500gm,B00033,2024-06-24,41.5,83,41.45,29.48,Neha,294,Printer_C
Sweet N Hot Lemon Pickle,Pickle,100gm,B00034,2023-05-02,11.1,111,69.02,56.52,Priya,287,Printer_A
Maruti Mango Pickle,Pickle,50gm,B00035,2023-08-17,6.75,135,136.47,101.21,Neha,281,Printer_A
8+2 Mirchi Powder,Masala,1kg,B00036,2023-11-03,96.0,96,115.59,95.74,Priya,130,Printer_B
Garam Masala,Masala,1kg,B00037,2023-08-02,139.0,139,58.32,39.47,Priya,224,Printer_C
Chunda,Pickle,1kg,B00038,2024-12-07,76.0,76,92.73,67.53,Priya,170,Printer_A
Misal Masala,Masala,100gm,B00039,2025-09-15,9.1,91,82.72,54.64,Seema,47,Printer_A
Mango Pickle,Pickle,1kg,B00040,2023-01-07,175.0,175,106.37,63.22,Ajay,77,Printer_B
Shengdana Chatani,Chutney,100gm,B00041,2024-04-15,14.5,145,113.46,72.82,Sunil,164,Printer_C
sabudana papad,Papad,1kg,B00042,2023-10-18,64.0,64,120.67,80.68,Seema,63,Printer_A
Misal Masala,Masala,50gm,B00043,2025-08-09,4.05,81,101.86,82.35,Seema,117,Printer_C
Dal Tadka Masala,Masala,200gm,B00044,2025-07-28,15.4,77,141.56,119.26,Ravi,226,Printer_B
Tikha & Lal Mirchi Powder,Masala,200gm,B00045,2023-09-09,21.2,106,42.66,31.44,Seema,236,Printer_C
Sweet N Hot Lemon Pickle,Pickle,1kg,B00046,2023-02-23,93.0,93,79.98,69.18,Neha,289,Printer_A
Kolhapuri Thecha,Thecha,1kg,B00047,2025-02-05,141.0,141,72.76,63.45,Ravi,196,Printer_A
Khobra Lasun Chatani,Chutney,100gm,B00048,2025-04-04,8.0,80,57.35,36.02,Ajay,296,Printer_B
udad dal papad,Papad,100gm,B00049,2023-11-26,12.6,126,133.29,80.25,Sunil,221,Printer_A
Garam Masala,Masala,200gm,B00050,2024-11-28,24.2,121,94.09,70.14,Sunil,137,Printer_B
Garam Masala,Masala,50gm,B00051,2024-11-28,8.8,176,44.38,26.69,Ajay,112,Printer_B
Dal Tadka Masala,Masala,100gm,B00052,2023-01-07,15.8,158,50.19,28.39,Ajay,152,Printer_A
udad dal papad,Papad,200gm,B00053,2024-09-13,27.4,137,114.36,81.09,Priya,284,Printer_B
Javas Chatani,Chutney,50gm,B00054,2024-03-09,5.35,107,145.49,98.28,Ravi,232,Printer_B
Lasun Pickle,Pickle,200gm,B00055,2024-09-17,10.2,51,115.47,74.41,Ravi,107,Printer_B
Tikha & Lal Mirchi Powder,Masala,500gm,B00056,2023-08-26,52.5,105,34.43,26.95,Priya,110,Printer_B
Chat Masala,Masala,200gm,B00057,2025-05-28,10.2,51,79.32,48.38,Ravi,163,Printer_C
Tikhat Mirchi Powder,Masala,500gm,B00058,2024-06-10,72.5,145,138.99,93.38,Priya,108,Printer_B
Green Chilly Pickle,Pickle,500gm,B00059,2025-10-06,25.5,51,93.71,68.81,Priya,164,Printer_B
Lemon Pickle,Pickle,50gm,B00060,2024-04-14,5.95,119,59.05,47.34,Sunil,174,Printer_B
Mango Pickle,Pickle,100gm,B00061,2025-07-26,12.4,124,74.36,50.02,Sunil,53,Printer_B
Mango Pickle,Pickle,1kg,B00062,2024-02-25,87.0,87,74.13,58.54,Seema,168,Printer_A
Chatpata Thecha,Thecha,100gm,B00063,2023-01-16,11.9,119,77.86,65.79,Priya,47,Printer_B
Biryani Pulav Masala,Masala,1kg,B00064,2023-10-13,95.0,95,130.24,77.65,Ajay,134,Printer_A
Green Chilly Pickle,Pickle,50gm,B00065,2023-11-08,5.95,119,113.5,97.33,Seema,275,Printer_B
Tikha & Lal Mirchi Powder,Masala,100gm,B00066,2023-07-26,13.8,138,56.43,40.25,Ajay,281,Printer_C
Chunda,Pickle,500gm,B00067,2025-11-17,49.0,98,71.84,37.99,Ajay,290,Printer_B
Khobra Lasun Chatani,Chutney,500gm,B00068,2024-04-08,41.0,82,77.71,58.7,Sunil,151,Printer_C
Mango Pickle,Pickle,100gm,B00069,2024-06-23,5.0,50,111.08,91.15,Seema,149,Printer_B
Chatpata Masala,Masala,1kg,B00070,2023-02-08,129.0,129,140.96,107.58,Ajay,88,Printer_C
Kashmiri Mirchi Powder,Masala,500gm,B00071,2024-05-15,89.0,178,57.43,31.73,Ajay,115,Printer_B
Chicken Masala,Masala,1kg,B00072,2025-01-25,109.0,109,61.3,55.1,Priya,254,Printer_A
Javas Chatani,Chutney,200gm,B00073,2024-11-27,18.2,91,97.0,74.18,Ajay,289,Printer_C
Khobra Lasun Chatani,Chutney,500gm,B00074,2023-04-16,29.0,58,63.46,51.41,Ravi,182,Printer_C
Green Chilly Pickle,Pickle,500gm,B00075,2025-03-15,64.5,129,137.65,119.22,Neha,283,Printer_A
Khobra Lasun Chatani,Chutney,1kg,B00076,2025-09-03,82.0,82,107.04,66.93,Priya,79,Printer_B
Garam Masala,Masala,200gm,B00077,2024-05-15,30.2,151,124.24,87.05,Ajay,204,Printer_B
Maruti Mango Pickle,Pickle,500gm,B00078,2024-11-16,74.0,148,74.67,65.86,Ravi,286,Printer_A
sabudana papad,Papad,200gm,B00079,2023-09-25,14.8,74,30.61,19.84,Neha,30,Printer_A
Papad,Papad,100gm,B00080,2023-09-08,13.1,131,88.27,64.84,Ravi,68,Printer_C
Papad,Papad,500gm,B00081,2025-04-12,55.0,110,56.91,46.31,Seema,68,Printer_A
